"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Плата за билет в кинотеатр на вечерний сеанс составила 12€, что является стандартной ценой за фильм.","Плата за билет в кинотеатр на вечерний сеанс составила 12 евро, что является стандартной ценой за фильм."
"Цена на участие в тренировочном лагере для спортсменов составила 400€, что оправдано качеством условий и тренеров.","Цена на участие в тренировочном лагере для спортсменов составила 400 евро, что оправдано качеством условий и тренеров."
"Плата за участие в культурной программе составила 25€, что является разумным для посещения всех мероприятий.","Плата за участие в культурной программе составила 25 евро, что является разумным для посещения всех мероприятий."
"Стоимость карт для путешествий по городу составила 10€, что выгодно для туристов, которые планируют много передвигаться по городу.","Стоимость карт для путешествий по городу составила 10 евро, что выгодно для туристов, которые планируют много передвигаться по городу."
"Стоимость аренды фотокамеры на день составила 50€, что является приемлемой ценой для съемки на отдыхе.","Стоимость аренды фотокамеры на день составила 50 евро, что является приемлемой ценой для съемки на отдыхе."
"Цена на консультацию с врачом составила 60€, что соответствует рыночной стоимости медицинских услуг.","Цена на консультацию с врачом составила 60 евро, что соответствует рыночной стоимости медицинских услуг."
"Стоимость ночного входа в клуб составила 20€, что является стандартной платой для таких заведений.","Стоимость ночного входа в клуб составила 20 евро, что является стандартной платой для таких заведений."
"Стоимость оформления визы для поездки в Шенгенскую зону составила 80€, что является нормальной ценой для таких услуг.","Стоимость оформления визы для поездки в Шенгенскую зону составила 80 евро, что является нормальной ценой для таких услуг."
"Стоимость посещения нового музея составляет 15€, что является доступной ценой для студентов.","Стоимость посещения нового музея составляет 15 евро, что является доступной ценой для студентов."
"Тариф на общественный транспорт в городе составляет 2€, что делает его удобным для ежедневных поездок.","Тариф на общественный транспорт в городе составляет 2 евро, что делает его удобным для ежедневных поездок."
"Билет на концерт в популярном клубе обошелся в 40€, что оправдано высоким качеством мероприятия.","Билет на концерт в популярном клубе обошелся в 40 евро, что оправдано высоким качеством мероприятия."
"Для получения дополнительной информации нужно заплатить 10€, что является стандартной платой за консультацию.","Для получения дополнительной информации нужно заплатить 10 евро, что является стандартной платой за консультацию."
"Стоимость участия в онлайн-курсе по программированию составляет 100€, что дает доступ ко всем материалам.","Стоимость участия в онлайн-курсе по программированию составляет 100 евро, что дает доступ ко всем материалам."
"Цена за выходной билет на выставку составила 50€, что является хорошей ценой для того, чтобы увидеть новые работы художников.","Цена за выходной билет на выставку составила 50 евро, что является хорошей ценой для того, чтобы увидеть новые работы художников."
"Участие в международной конференции требует взноса в размере 200€, что является стандартной платой для таких мероприятий.","Участие в международной конференции требует взноса в размере 200 евро, что является стандартной платой для таких мероприятий."
"Стоимость обеда в ресторане с изысканной кухней составила 60€, что оправдано качеством обслуживания и продуктов.","Стоимость обеда в ресторане с изысканной кухней составила 60 евро, что оправдано качеством обслуживания и продуктов."
"Для оплаты вечернего киносеанса потребовалось заплатить 15€, что является стандартной ценой за билет.","Для оплаты вечернего киносеанса потребовалось заплатить 15 евро, что является стандартной ценой за билет."
"Цена на услуги стилиста в салоне красоты составляет 100€, что соответствует рыночным ценам для качественного обслуживания.","Цена на услуги стилиста в салоне красоты составляет 100 евро, что соответствует рыночным ценам для качественного обслуживания."
"Сумма взноса за участие в тренинге по развитию лидерских качеств составила 250€, что является разумным для этого уровня курса.","Сумма взноса за участие в тренинге по развитию лидерских качеств составила 250 евро, что является разумным для этого уровня курса."
"Плата за использование Wi-Fi в гостинице составила 5€ за день, что делает его доступным для большинства гостей.","Плата за использование Wi-Fi в гостинице составила 5 евро за день, что делает его доступным для большинства гостей."
"Цена за аренду конференц-зала для мероприятий составляет 300€, что вполне соответствует рыночным ценам.","Цена за аренду конференц-зала для мероприятий составляет 300 евро, что вполне соответствует рыночным ценам."
"Стоимость годовой подписки на музыкальный стриминговый сервис составила 120€, что выгодно при условии использования платформы постоянно.","Стоимость годовой подписки на музыкальный стриминговый сервис составила 120 евро, что выгодно при условии использования платформы постоянно."
"Обед на двоих в этом ресторане обошелся в 80€, что является нормальной ценой для такого заведения.","Обед на двоих в этом ресторане обошелся в 80 евро, что является нормальной ценой для такого заведения."
"Стоимость билета в зоопарк составляет 30€, что позволяет многим семьям провести время на свежем воздухе.","Стоимость билета в зоопарк составляет 30 евро, что позволяет многим семьям провести время на свежем воздухе."
"Цена за один урок йоги составляет 15€, что является разумным вариантом для начинающих.","Цена за один урок йоги составляет 15 евро, что является разумным вариантом для начинающих."
"Стоимость дополнительного багажа на международном рейсе составила 50€, что не слишком дорого.","Стоимость дополнительного багажа на международном рейсе составила 50 евро, что не слишком дорого."
"Участие в марафоне обошлось в 100€, включая регистрацию и номер участника.","Участие в марафоне обошлось в 100 евро, включая регистрацию и номер участника."
"Стоимость аренды виллы на пляже составила 150€, что является разумной ценой для отдыха в летний сезон.","Стоимость аренды виллы на пляже составила 150 евро, что является разумной ценой для отдыха в летний сезон."
"Плата за участие в онлайн-семинаре составила 25€, что является доступным для широкого круга людей.","Плата за участие в онлайн-семинаре составила 25 евро, что является доступным для широкого круга людей."
"Цена на билеты в музей современного искусства составила 40€, что вполне оправдано для посетителей, желающих ознакомиться с новыми экспонатами.","Цена на билеты в музей современного искусства составила 40 евро, что вполне оправдано для посетителей, желающих ознакомиться с новыми экспонатами."
"Стоимость ночной экскурсии по городу составила 20€, что является хорошей возможностью для туристов.","Стоимость ночной экскурсии по городу составила 20 евро, что является хорошей возможностью для туристов."
"Цена на экскурсию по историческим местам составляет 60€, что позволяет посетителям узнать больше о культурном наследии города.","Цена на экскурсию по историческим местам составляет 60 евро, что позволяет посетителям узнать больше о культурном наследии города."
"Для того чтобы попасть на закрытую вечеринку, нужно заплатить 100€, что является стандартной платой за участие.","Для того чтобы попасть на закрытую вечеринку, нужно заплатить 100 евро, что является стандартной платой за участие."
"Стоимость ремонта автомобиля составила 300€, что является разумной ценой за такие работы.","Стоимость ремонта автомобиля составила 300 евро, что является разумной ценой за такие работы."
"Плата за услуги парикмахера в этом салоне составила 40€, что немного выше средней цены в городе.","Плата за услуги парикмахера в этом салоне составила 40 евро, что немного выше средней цены в городе."
"Стоимость обеденного набора на двоих составила 60€, что является приемлемым для такого заведения.","Стоимость обеденного набора на двоих составила 60 евро, что является приемлемым для такого заведения."
"Билет на экскурсию по винодельне стоит 25€, что является нормальной ценой для таких мероприятий.","Билет на экскурсию по винодельне стоит 25 евро, что является нормальной ценой для таких мероприятий."
"Плата за пользование услугами массажиста составляет 60€, что делает это доступным для людей с разным доходом.","Плата за пользование услугами массажиста составляет 60 евро, что делает это доступным для людей с разным доходом."
"Цена за аренду лодки на озере составляет 50€ за пару часов, что оправдано уровнем сервиса.","Цена за аренду лодки на озере составляет 50 евро за пару часов, что оправдано уровнем сервиса."
"Услуги экскурсовода для группы из 10 человек составили 200€, что является стандартной платой за подобные мероприятия.","Услуги экскурсовода для группы из 10 человек составили 200 евро, что является стандартной платой за подобные мероприятия."
"Стоимость абонемента в спортзал составила 80€ за месяц, что делает занятия доступными для постоянных посетителей.","Стоимость абонемента в спортзал составила 80 евро за месяц, что делает занятия доступными для постоянных посетителей."
"Новый комплект лыжного снаряжения обошелся в 400€, что оправдано его качеством.","Новый комплект лыжного снаряжения обошелся в 400 евро, что оправдано его качеством."
"Цена на участие в курсе по рисованию составила 150€, что является стандартной суммой для таких программ.","Цена на участие в курсе по рисованию составила 150 евро, что является стандартной суммой для таких программ."
"Стоимость полного ужина на двоих с вином в этом ресторане составила 100€, что является хорошей ценой для такого уровня заведения.","Стоимость полного ужина на двоих с вином в этом ресторане составила 100 евро, что является хорошей ценой для такого уровня заведения."
"Услуги по организации свадебной церемонии обошлись в 500€, что является обычной ценой для такого рода мероприятий.","Услуги по организации свадебной церемонии обошлись в 500 евро, что является обычной ценой для такого рода мероприятий."
"Цены на билеты для посещения новых аттракционов составляют от 10€ до 50€, в зависимости от размера и сложности.","Цены на билеты для посещения новых аттракционов составляют от 10 евро до 50 евро, в зависимости от размера и сложности."
"Плата за занятие танцами составляет 20€, что позволяет многим людям заниматься этим видом искусства.","Плата за занятие танцами составляет 20 евро, что позволяет многим людям заниматься этим видом искусства."
"Стоимость аренды спортивного инвентаря для активного отдыха составила 15€, что является разумной ценой для краткосрочного использования.","Стоимость аренды спортивного инвентаря для активного отдыха составила 15 евро, что является разумной ценой для краткосрочного использования."
"Цена этого нового смартфона составляет 750€, что делает его доступным для среднего класса.","Цена этого нового смартфона составляет 750 евро, что делает его доступным для среднего класса."
"Плата за аренду автомобиля в день составляет 40€, что является вполне приемлемой стоимостью.","Плата за аренду автомобиля в день составляет 40 евро, что является вполне приемлемой стоимостью."
"Минимальная стоимость услуг профессионала в данной области составляет 150€, что является стандартной ставкой.","Минимальная стоимость услуг профессионала в данной области составляет 150 евро, что является стандартной ставкой."
"Сумма, необходимая для покупки билета на фестиваль, составляет 80€, и она покрывает все расходы на участие.","Сумма, необходимая для покупки билета на фестиваль, составляет 80 евро, и она покрывает все расходы на участие."
"Стоимость продуктов питания в среднем магазине увеличилась на 20€, что заметно сказалось на бюджете семей.","Стоимость продуктов питания в среднем магазине увеличилась на 20 евро, что заметно сказалось на бюджете семей."
"Ремонт старого автомобиля обошелся мне в 400€, но результат стоит того.","Ремонт старого автомобиля обошелся мне в 400 евро, но результат стоит того."
"Цена на такси от аэропорта до отеля составила 25€, что является разумным ценовым ориентиром.","Цена на такси от аэропорта до отеля составила 25 евро, что является разумным ценовым ориентиром."
"Покупка билетов на поезд по маршруту между городами стоила 150€, что является стандартной ценой для таких путешествий.","Покупка билетов на поезд по маршруту между городами стоила 150 евро, что является стандартной ценой для таких путешествий."
"Средняя стоимость обеда в хорошем ресторане в столице составила 60€, что несколько выше среднего уровня по стране.","Средняя стоимость обеда в хорошем ресторане в столице составила 60 евро, что несколько выше среднего уровня по стране."
"Плату за участие в вебинаре установили в 50€, что является вполне разумной суммой для онлайн-мероприятий.","Плату за участие в вебинаре установили в 50 евро, что является вполне разумной суммой для онлайн-мероприятий."
"Покупка новой кофемашины обошлась в 200€, что оправдано её качеством и функциональностью.","Покупка новой кофемашины обошлась в 200 евро, что оправдано её качеством и функциональностью."
"Стоимость участия в международной конференции составила 250€, что позволило мне узнать новые тенденции в своей области.","Стоимость участия в международной конференции составила 250 евро, что позволило мне узнать новые тенденции в своей области."
"В этой гостинице цена за ночь в стандартном номере составляет 80€, что является доступным вариантом для туристов.","В этой гостинице цена за ночь в стандартном номере составляет 80 евро, что является доступным вариантом для туристов."
"Чтобы провести ночь в кемпинге на берегу озера, необходимо заплатить 30€, что достаточно доступно.","Чтобы провести ночь в кемпинге на берегу озера, необходимо заплатить 30 евро, что достаточно доступно."
"Цены на билеты на спортивные мероприятия варьируются от 10€ до 100€, в зависимости от типа событий.","Цены на билеты на спортивные мероприятия варьируются от 10 евро до 100 евро, в зависимости от типа событий."
"Я потратил 500€ на отдых в Испании, включая перелет и проживание в отеле.","Я потратил 500 евро на отдых в Испании, включая перелет и проживание в отеле."
"В студенческом общежитии цена за проживание составляет 200€ в месяц, что является хорошим вариантом для бюджетных студентов.","В студенческом общежитии цена за проживание составляет 200 евро в месяц, что является хорошим вариантом для бюджетных студентов."
"В среднем, поездка на такси по городу стоит 15€, если ехать по центральным улицам.","В среднем, поездка на такси по городу стоит 15 евро, если ехать по центральным улицам."
"Для участия в семинаре, посвященном инновационным технологиям, нужно заплатить 120€, что является достаточно высокой ценой для большинства участников.","Для участия в семинаре, посвященном инновационным технологиям, нужно заплатить 120 евро, что является достаточно высокой ценой для большинства участников."
"В этом магазине уникальная коллекция одежды продается по ценам от 100€ до 500€, что привлекает любителей качественного стиля.","В этом магазине уникальная коллекция одежды продается по ценам от 100 евро до 500 евро, что привлекает любителей качественного стиля."
"Стоимость транспортировки товаров из одного города в другой составляет 250€, что является стандартной ставкой для подобного расстояния.","Стоимость транспортировки товаров из одного города в другой составляет 250 евро, что является стандартной ставкой для подобного расстояния."
"Стоимость аренды велосипедов на день в этом курортном районе составляет 10€, что является хорошей возможностью для туристов.","Стоимость аренды велосипедов на день в этом курортном районе составляет 10 евро, что является хорошей возможностью для туристов."
"Я заплатил 120€ за возможность пройти курс повышения квалификации, что вполне оправдано с учетом получаемых знаний.","Я заплатил 120 евро за возможность пройти курс повышения квалификации, что вполне оправдано с учетом получаемых знаний."
"На купонные скидки в магазинах часто предлагают суммы в 5€ или 10€, что дает значительное преимущество покупателям.","На купонные скидки в магазинах часто предлагают суммы в 5 евро или 10 евро, что дает значительное преимущество покупателям."
"Для покупки подарочного набора нужно заплатить около 25€, что является разумной ценой за такой подарок.","Для покупки подарочного набора нужно заплатить около 25 евро, что является разумной ценой за такой подарок."
"Ежегодный вклад в пенсионный фонд составил 500€, что является стандартной суммой для всех работников.","Ежегодный вклад в пенсионный фонд составил 500 евро, что является стандартной суммой для всех работников."
"Цены на билеты в театр варьируются от 15€ до 50€, что позволяет каждому выбрать подходящий вариант.","Цены на билеты в театр варьируются от 15 евро до 50 евро, что позволяет каждому выбрать подходящий вариант."
"Плата за пользование этим интернет-сервисом составляет 10€ в месяц, что очень удобно для пользователей.","Плата за пользование этим интернет-сервисом составляет 10 евро в месяц, что очень удобно для пользователей."
"Стоимость этого брендового аксессуара на распродаже составляет 70€, что на 30% ниже обычной цены.","Стоимость этого брендового аксессуара на распродаже составляет 70 евро, что на 30% ниже обычной цены."
"Плата за посещение зоопарка составляет 30€, что доступно для семей с детьми.","Плата за посещение зоопарка составляет 30 евро, что доступно для семей с детьми."
"Цена за входной билет на выставку искусства составляет 25€, что является умеренной ценой для подобных мероприятий.","Цена за входной билет на выставку искусства составляет 25 евро, что является умеренной ценой для подобных мероприятий."
"Стоимость нового проекта по разработке приложения составит 2000€, что оправдано высоким уровнем инвестиций.","Стоимость нового проекта по разработке приложения составит 2000 евро, что оправдано высоким уровнем инвестиций."
"На международном турнире по шахматам участие стоит 150€, что включает регистрацию и несколько туров.","На международном турнире по шахматам участие стоит 150 евро, что включает регистрацию и несколько туров."
"Стоимость месячной подписки на сервис видеоконтента составляет 12€, что делает его доступным для всех желающих.","Стоимость месячной подписки на сервис видеоконтента составляет 12 евро, что делает его доступным для всех желающих."
"За участие в марафоне мне пришлось заплатить 40€, что не так уж и много для такого масштабного мероприятия.","За участие в марафоне мне пришлось заплатить 40 евро, что не так уж и много для такого масштабного мероприятия."
"Цена за размещение рекламы на этом сайте составит 50€, что оправдано высокими посещаемостью и популярностью ресурса.","Цена за размещение рекламы на этом сайте составит 50 евро, что оправдано высокими посещаемостью и популярностью ресурса."
"Стоимость обновления программного обеспечения для компьютеров в компании составила 500€, что значительно улучшило работу сотрудников.","Стоимость обновления программного обеспечения для компьютеров в компании составила 500 евро, что значительно улучшило работу сотрудников."
"Цена на кулинарные курсы варьируется от 30€ до 100€, в зависимости от уровня преподавания.","Цена на кулинарные курсы варьируется от 30 евро до 100 евро, в зависимости от уровня преподавания."
"В среднем, курс доллара на бирже составляет 1,2€, что на несколько процентов выше предыдущего значения.","В среднем, курс доллара на бирже составляет 1,2 евро, что на несколько процентов выше предыдущего значения."
"Стоимость ежемесячного обслуживания мобильной связи составляет 15€, что выгодно для постоянных пользователей.","Стоимость ежемесячного обслуживания мобильной связи составляет 15 евро, что выгодно для постоянных пользователей."
"Сумма налогового вычета для организации составила 500€, что позволило снизить общие расходы.","Сумма налогового вычета для организации составила 500 евро, что позволило снизить общие расходы."
"В этом кафе стоимость чашки кофе составляет 3€, что является нормальной ценой для такого заведения.","В этом кафе стоимость чашки кофе составляет 3 евро, что является нормальной ценой для такого заведения."
"Стоимость новых спортивных аксессуаров для тренировок составила 150€, что оправдано их качеством.","Стоимость новых спортивных аксессуаров для тренировок составила 150 евро, что оправдано их качеством."
"Стоимость нового телефона составляет 999€, что делает его доступным для большинства покупателей.","Стоимость нового телефона составляет 999 евро, что делает его доступным для большинства покупателей."
"Этот курс валюты показал снижение на 3€, что вызвало волну недовольства у инвесторов.","Этот курс валюты показал снижение на 3 евро, что вызвало волну недовольства у инвесторов."
"Цена на бензин выросла на 0,2€ за литр, что заметно увеличило расходы водителей.","Цена на бензин выросла на 0,2 евро за литр, что заметно увеличило расходы водителей."
"Выставленный лот на аукционе оценен в 450€, что сделает его доступным для коллекционеров.","Выставленный лот на аукционе оценен в 450 евро, что сделает его доступным для коллекционеров."
"Ремонт квартиры обошелся мне в 1500€, но я считаю, что это стоит того.","Ремонт квартиры обошелся мне в 1500 евро, но я считаю, что это стоит того."
"В путешествие по Европе я потратил около 300€, посетив пять разных стран.","В путешествие по Европе я потратил около 300 евро, посетив пять разных стран."
"Этот билет в концертный зал стоит 50€, что значительно дороже, чем обычно.","Этот билет в концертный зал стоит 50 евро, что значительно дороже, чем обычно."
"Для покупки билета на авиарейс потребуется заплатить 200€, но цена может варьироваться.","Для покупки билета на авиарейс потребуется заплатить 200 евро, но цена может варьироваться."
"Минимальная зарплата в некоторых странах Европы составляет всего 1000€, что вызывает большие социальные проблемы.","Минимальная зарплата в некоторых странах Европы составляет всего 1000 евро, что вызывает большие социальные проблемы."
"Стоимость путевки на курорт на побережье Средиземного моря равна 1200€, включая все расходы.","Стоимость путевки на курорт на побережье Средиземного моря равна 1200 евро, включая все расходы."
"Покупка новой мебели для офиса стоила компании 5000€, что повлияло на бюджет.","Покупка новой мебели для офиса стоила компании 5000 евро, что повлияло на бюджет."
"Выручка от продажи товара составила 300€, а прибыль была значительно меньше.","Выручка от продажи товара составила 300 евро, а прибыль была значительно меньше."
"Стоимость подписки на сервис за месяц составляет 15€, что делает его доступным для большинства пользователей.","Стоимость подписки на сервис за месяц составляет 15 евро, что делает его доступным для большинства пользователей."
"Пожертвование на благотворительность составило 200€, что помогло обеспечить помощь нуждающимся.","Пожертвование на благотворительность составило 200 евро, что помогло обеспечить помощь нуждающимся."
"Ежегодные расходы на обучение студентов в этом университете составляют около 8000€, что привлекло множество иностранных студентов.","Ежегодные расходы на обучение студентов в этом университете составляют около 8000 евро, что привлекло множество иностранных студентов."
"Заправка машины в Европе может обойтись в 50€, если цена на топливо выросла.","Заправка машины в Европе может обойтись в 50 евро, если цена на топливо выросла."
"Возможность поучаствовать в тренинге стоит 200€, и это может стать хорошим вложением в будущее.","Возможность поучаствовать в тренинге стоит 200 евро, и это может стать хорошим вложением в будущее."
"Цена на пару кроссовок составила 75€, что является хорошей ценой для такой модели.","Цена на пару кроссовок составила 75 евро, что является хорошей ценой для такой модели."
"Финансовая помощь в размере 500€ была предоставлена государством для покрытия образовательных расходов.","Финансовая помощь в размере 500 евро была предоставлена государством для покрытия образовательных расходов."
"Для участия в конкурсе необходимо оплатить взнос в 30€, что оправдано высоким уровнем подготовки участников.","Для участия в конкурсе необходимо оплатить взнос в 30 евро, что оправдано высоким уровнем подготовки участников."
"Туристический пакет по цене 800€ включал не только проживание, но и экскурсии по самым известным достопримечательностям.","Туристический пакет по цене 800 евро включал не только проживание, но и экскурсии по самым известным достопримечательностям."
"Цена на аренду квартиры в центре города составляет 1000€, что значительно выше среднего уровня по региону.","Цена на аренду квартиры в центре города составляет 1000 евро, что значительно выше среднего уровня по региону."
"Стоимость нового смартфона составляет 400€, что делает его доступным для широкой аудитории.","Стоимость нового смартфона составляет 400 евро, что делает его доступным для широкой аудитории."
"Оплата за использование приложения составляет 3€ в месяц, что является разумной ценой для всех пользователей.","Оплата за использование приложения составляет 3 евро в месяц, что является разумной ценой для всех пользователей."
