"Цена билета на поезд в Хаконе составила 4,500¥.","Цена билета на поезд в Хаконе составила 4 500 йен."
"Плата за занятия йогой в студии составила 1,200¥ за занятие.","Плата за занятия йогой в студии составила 1 200 йен за занятие."
"Плата за такси в Японии часто составляет от 500¥ до 3,000¥ в зависимости от расстояния.","Плата за такси в Японии часто составляет от 500 до 3 000 йен в зависимости от расстояния."
"Я потратил 3,500¥ на покупку сувениров в японском магазине.","Я потратил 3 500 йен на покупку сувениров в японском магазине."
"Сумма моего счета за проживание в отеле составила 15,000¥.","Сумма моего счета за проживание в отеле составила 15 000 йен."
"Стоимость ночных развлечений в Токио может варьироваться от 1,500¥ до 7,000¥.","Стоимость ночных развлечений в Токио может варьироваться от 1 500 до 7 000 йен."
"Я заплатил 5,000¥ за участие в мастер-классе.","Я заплатил 5 000 йен за участие в мастер-классе."
"Мои расходы на транспорт за месяц составили 10,000¥.","Мои расходы на транспорт за месяц составили 10 000 йен."
"Цена билета на футбольный матч в Токио составляет 4,000¥.","Цена билета на футбольный матч в Токио составляет 4 000 йен."
"Я заплатил 8,000¥ за аренду автомобиля на неделю.","Я заплатил 8 000 йен за аренду автомобиля на неделю."
"Стоимость билетов на концерт в Осаке составляет 2,500¥.","Стоимость билетов на концерт в Осаке составляет 2 500 йен."
"Для того чтобы посетить храм, нужно заплатить 1,000¥ за вход.","Для того чтобы посетить храм, нужно заплатить 1 000 йен за вход."
"Я потратил 2,500¥ на покупку билетов на поезд.","Я потратил 2 500 йен на покупку билетов на поезд."
"Плата за доставку товаров из Японии составила 1,500¥.","Плата за доставку товаров из Японии составила 1 500 йен."
"Я заплатил 7,000¥ за трансфер до отеля.","Я заплатил 7 000 йен за трансфер до отеля."
"Стоимость билетов на поезда в Японии начинается от 500¥.","Стоимость билетов на поезда в Японии начинается от 500 йен."
"Для путешествия по Японии я потратил 30,000¥.","Для путешествия по Японии я потратил 30 000 йен."
"Обед на двоих в ресторане в центре Токио обойдется примерно в 4,000¥.","Обед на двоих в ресторане в центре Токио обойдется примерно в 4 000 йен."
"За проезд на метро я заплатил 300¥.","За проезд на метро я заплатил 300 йен."
"Сумма, которую я потратил на сувениры, составила 3,000¥.","Сумма, которую я потратил на сувениры, составила 3 000 йен."
"Стоимость ночлега в традиционном японском доме составила 8,000¥.","Стоимость ночлега в традиционном японском доме составила 8 000 йен."
"Плата за использование ингаляторов в спортивных центрах составила 1,500¥.","Плата за использование ингаляторов в спортивных центрах составила 1 500 йен."
"Стоимость аренды квартиры в центре Токио может составить до 100,000¥.","Стоимость аренды квартиры в центре Токио может составить до 100 000 йен."
"Проезд по шоссе стоит около 1,000¥ за день.","Проезд по шоссе стоит около 1 000 йен за день."
"Цена на кофе в японских кафе может составить от 400¥ до 1,000¥.","Цена на кофе в японских кафе может составить от 400 до 1 000 йен."
"Плата за посещение Токийской башни составляет 2,000¥.","Плата за посещение Токийской башни составляет 2 000 йен."
"На покупку билетов в японский аквариум я потратил 2,500¥.","На покупку билетов в японский аквариум я потратил 2 500 йен."
"Плата за проезд на автобусе в Токио составляет 300¥.","Плата за проезд на автобусе в Токио составляет 300 йен."
"Вечерняя прогулка на корабле по реке в Токио обойдется в 4,000¥.","Вечерняя прогулка на корабле по реке в Токио обойдется в 4 000 йен."
"В ресторане обед с напитками может стоить 3,500¥.","В ресторане обед с напитками может стоить 3 500 йен."
"Билет на выставку искусства стоит 1,500¥.","Билет на выставку искусства стоит 1 500 йен."
"Стоимость однодневного тура по Киото составляет 5,000¥.","Стоимость однодневного тура по Киото составляет 5 000 йен."
"Стоимость курса японского языка в Токио составляет 25,000¥.","Стоимость курса японского языка в Токио составляет 25 000 йен."
"Плата за трансфер из аэропорта до города составила 4,000¥.","Плата за трансфер из аэропорта до города составила 4 000 йен."
"Стоимость курса японской каллиграфии составила 3,000¥.","Стоимость курса японской каллиграфии составила 3 000 йен."
"Стоимость ночного клуба составляет 3,000¥ за вход.","Стоимость ночного клуба составляет 3 000 йен за вход."
"Проезд по магистрали на автомобиле обошелся мне в 1,500¥.","Проезд по магистрали на автомобиле обошелся мне в 1 500 йен."
"Стоимость вступительного билета в музей составила 2,000¥.","Стоимость вступительного билета в музей составила 2 000 йен."
"Сумма моего счета за косметические процедуры составила 5,000¥.","Сумма моего счета за косметические процедуры составила 5 000 йен."
"Я заплатил 7,500¥ за экскурсию по древнему храму.","Я заплатил 7 500 йен за экскурсию по древнему храму."
"Стоимость участия в фестивале составила 2,500¥.","Стоимость участия в фестивале составила 2 500 йен."
"Мои расходы на аренду велосипеда составили 1,500¥.","Мои расходы на аренду велосипеда составили 1 500 йен."
"Я заплатил 2,000¥ за посещение японского сада.","Я заплатил 2 000 йен за посещение японского сада."
"Стоимость билетов на тематические парки составляет 7,000¥.","Стоимость билетов на тематические парки составляет 7 000 йен."
"Цены на сувениры в магазинах начинаются от 500¥.","Цены на сувениры в магазинах начинаются от 500 йен."
"Цена экскурсии в горы составила 3,000¥.","Цена экскурсии в горы составила 3 000 йен."
"Стоимость одного билета на мероприятие составила 2,000¥.","Стоимость одного билета на мероприятие составила 2 000 йен."
"За аренду дома на месяц я заплатил 60,000¥.","За аренду дома на месяц я заплатил 60 000 йен."
"Курс валюты составил 110¥ за доллар.","Курс валюты составил 110 йен за доллар."
"Для ночлега в хостеле я заплатил 1,500¥.","Для ночлега в хостеле я заплатил 1 500 йен."
"Мои расходы на отдых в Японии составили 100,000¥.","Мои расходы на отдых в Японии составили 100 000 йен."
"Стоимость такси из аэропорта в отель составила 2,500¥.","Стоимость такси из аэропорта в отель составила 2 500 йен."
"Я потратил 5,000¥ на покупки в Токио.","Я потратил 5 000 йен на покупки в Токио."
"Билет на поезд в Хоккайдо стоит 7,500¥.","Билет на поезд в Хоккайдо стоит 7 500 йен."
"Я купил подарок за 2,000¥ в одном из магазинов.","Я купил подарок за 2 000 йен в одном из магазинов."
"Цена за вход в парк аттракционов составила 3,000¥.","Цена за вход в парк аттракционов составила 3 000 йен."
"Зарплата врача в Японии составляет 300,000¥ в месяц.","Зарплата врача в Японии составляет 300 000 йен в месяц."
"Плата за услуги связи составила 1,000¥ в месяц.","Плата за услуги связи составила 1 000 йен в месяц."
"Я купил билеты на концерт за 2,500¥.","Я купил билеты на концерт за 2 500 йен."
"Стоимость аренды велосипедов составляет 500¥ в день.","Стоимость аренды велосипедов составляет 500 йен в день."
"Стоимость обеда в ресторане составила 2,000¥.","Стоимость обеда в ресторане составила 2 000 йен."
"Платеж за медицинскую страховку составил 20,000¥.","Платеж за медицинскую страховку составил 20 000 йен."
"Стоимость парковки в центре города составляет 1,500¥ в день.","Стоимость парковки в центре города составляет 1 500 йен в день."
"Мои расходы на покупку продуктов составили 4,000¥.","Мои расходы на покупку продуктов составили 4 000 йен."
"Стоимость курса японского языка составила 25,000¥.","Стоимость курса японского языка составила 25 000 йен."
"Я заплатил 6,000¥ за ночлег в отеле.","Я заплатил 6 000 йен за ночлег в отеле."
"Цены на билеты на самолет варьируются от 10,000¥ до 30,000¥.","Цены на билеты на самолет варьируются от 10 000 до 30 000 йен."
"Покупка мебели в этом магазине обошлась мне в 15,000¥.","Покупка мебели в этом магазине обошлась мне в 15 000 йен."
"Проезд на метро в Токио стоит 200¥ за поездку.","Проезд на метро в Токио стоит 200 йен за поездку."
"Стоимость за посещение горячих источников составляет 3,500¥.","Стоимость за посещение горячих источников составляет 3 500 йен."
"Стоимость поездки на экскурсию составляет 5,000¥.","Стоимость поездки на экскурсию составляет 5 000 йен."
"Мои расходы на такси в Японии составили 8,000¥.","Мои расходы на такси в Японии составили 8 000 йен."
"Стоимость обеда в столовой составила 700¥.","Стоимость обеда в столовой составила 700 йен."
"Я потратил 2,500¥ на косметику в японском магазине.","Я потратил 2 500 йен на косметику в японском магазине."
"Стоимость поездки на поезде до Нары составила 1,500¥.","Стоимость поездки на поезде до Нары составила 1 500 йен."
"Для посещения музея мне пришлось заплатить 1,000¥.","Для посещения музея мне пришлось заплатить 1 000 йен."
"Стоимость футбольного матча в Токио составила 4,000¥.","Стоимость футбольного матча в Токио составила 4 000 йен."
"Я заплатил 5,000¥ за ремонт своего смартфона.","Я заплатил 5 000 йен за ремонт своего смартфона."
"Стоимость билетов на автобус составляет 300¥.","Стоимость билетов на автобус составляет 300 йен."
"Цены на комнату в отеле начинаются от 4,500¥ за ночь.","Цены на комнату в отеле начинаются от 4 500 йен за ночь."
"Я заплатил 2,000¥ за билет на тур в Киото.","Я заплатил 2 000 йен за билет на тур в Киото."
"Плата за экскурсию по городу составила 3,000¥.","Плата за экскурсию по городу составила 3 000 йен."
"Стоимость проезда на такси из аэропорта составила 5,000¥.","Стоимость проезда на такси из аэропорта составила 5 000 йен."
"Цена на аренду номера в отеле составляет 12,000¥.","Цена на аренду номера в отеле составляет 12 000 йен."
"Я заплатил 7,000¥ за такси по городу.","Я заплатил 7 000 йен за такси по городу."
"Плата за использование интернет-услуг составила 800¥.","Плата за использование интернет-услуг составила 800 йен."
"Мои расходы на курсы составили 30,000¥.","Мои расходы на курсы составили 30 000 йен."
"Стоимость входа в аквапарк составила 4,000¥.","Стоимость входа в аквапарк составила 4 000 йен."
"Я купил новый рюкзак за 1,800¥.","Я купил новый рюкзак за 1 800 йен."
"Стоимость проживания в доме отдыха составляет 10,000¥ за ночь.","Стоимость проживания в доме отдыха составляет 10 000 йен за ночь."
"Плата за ночную прогулку на катере составила 3,000¥.","Плата за ночную прогулку на катере составила 3 000 йен."
"Я заплатил 2,500¥ за услугу доставки товаров.","Я заплатил 2 500 йен за услугу доставки товаров."
"Плата за занятия в спортзале составляет 7,000¥ в месяц.","Плата за занятия в спортзале составляет 7 000 йен в месяц."
"Мои расходы на авиабилет составили 20,000¥.","Мои расходы на авиабилет составили 20 000 йен."
"Стоимость экскурсионного тура в Нара составляет 4,500¥.","Стоимость экскурсионного тура в Нара составляет 4 500 йен."
"Я заплатил 1,200¥ за услуги химчистки.","Я заплатил 1 200 йен за услуги химчистки."
"Стоимость ночного клуба составляет 3,500¥ за вход.","Стоимость ночного клуба составляет 3 500 йен за вход."
"Цены на продукты в этом супермаркете начинаются от 800¥.","Цены на продукты в этом супермаркете начинаются от 800 йен."
"Я потратил 10,000¥ на одежду в японском магазине.","Я потратил 10 000 йен на одежду в японском магазине."
"Стоимость парковки на сутки составила 1,000¥.","Стоимость парковки на сутки составила 1 000 йен."
"За вход в столицу на экскурсию я заплатил 4,000¥.","За вход в столицу на экскурсию я заплатил 4 000 йен."
"Стоимость обеда в ресторане составила 1,200¥.","Стоимость обеда в ресторане составила 1 200 йен."
"Билеты на выставку стоят 3,500¥.","Билеты на выставку стоят 3 500 йен."
"За покупку в магазине я заплатил 8,000¥.","За покупку в магазине я заплатил 8 000 йен."
"Стоимость поездки в такси составила 2,000¥.","Стоимость поездки в такси составила 2 000 йен."
"Я купил книгу за 1,500¥.","Я купил книгу за 1 500 йен."
"Цена ночлега в отеле составляет 6,000¥.","Цена ночлега в отеле составляет 6 000 йен."
"Плата за вход в музей составляет 1,000¥.","Плата за вход в музей составляет 1 000 йен."
"За аренду велосипеда взяли 500¥.","За аренду велосипеда взяли 500 йен."
"Цены на билеты в кино начинаются от 2,000¥.","Цены на билеты в кино начинаются от 2 000 йен."
"Стоимость проезда на автобусе составляет 300¥.","Стоимость проезда на автобусе составляет 300 йен."
"Мой телефон стоит 40,000¥.","Мой телефон стоит 40 000 йен."
"Плата за парковку в центре города составляет 1,500¥ в день.","Плата за парковку в центре города составляет 1 500 йен в день."
"Для похода в театр нужно заплатить 2,500¥.","Для похода в театр нужно заплатить 2 500 йен."
"Стоимость билета на поезд из Токио в Киото — 10,000¥.","Стоимость билета на поезд из Токио в Киото — 10 000 йен."
"Цена продуктов в супермаркете может составить 3,000¥.","Цена продуктов в супермаркете может составить 3 000 йен."
"Плата за обучение в школе составляет 30,000¥ в месяц.","Плата за обучение в школе составляет 30 000 йен в месяц."
"Стоимость абонемента в фитнес-клуб составляет 5,000¥ в месяц.","Стоимость абонемента в фитнес-клуб составляет 5 000 йен в месяц."
"Я заплатил 15,000¥ за ремонт своей квартиры.","Я заплатил 15 000 йен за ремонт своей квартиры."
"Покупка билетов на мероприятие обошлась мне в 3,000¥.","Покупка билетов на мероприятие обошлась мне в 3 000 йен."
"Проезд на метро в Токио стоит 200¥.","Проезд на метро в Токио стоит 200 йен."
"Мой обед в ресторане стоит 1,500¥.","Мой обед в ресторане стоит 1 500 йен."
"Плата за услуги связи составила 500¥.","Плата за услуги связи составила 500 йен."
"Я заплатил 7,000¥ за массаж.","Я заплатил 7 000 йен за массаж."
"За поездку на такси в аэропорт я заплатил 4,000¥.","За поездку на такси в аэропорт я заплатил 4 000 йен."
"Стоимость экскурсии составляет 6,000¥.","Стоимость экскурсии составляет 6 000 йен."
"Подарочная карта в магазине стоит 2,000¥.","Подарочная карта в магазине стоит 2 000 йен."
"Цены на билеты в зоопарк начинаются от 1,000¥.","Цены на билеты в зоопарк начинаются от 1 000 йен."
"Я потратил 4,500¥ на покупки в торговом центре.","Я потратил 4 500 йен на покупки в торговом центре."
"Стоимость такси из аэропорта в отель составила 3,000¥.","Стоимость такси из аэропорта в отель составила 3 000 йен."
"Для аренды автомобиля на день нужно заплатить 8,000¥.","Для аренды автомобиля на день нужно заплатить 8 000 йен."
"Цена за вход на концерт была 2,000¥.","Цена за вход на концерт была 2 000 йен."
"Зарплата менеджера составляет 250,000¥ в месяц.","Зарплата менеджера составляет 250 000 йен в месяц."
"Плата за школьные принадлежности составила 1,500¥.","Плата за школьные принадлежности составила 1 500 йен."
"Проезд на автобусе в Киото стоит 400¥.","Проезд на автобусе в Киото стоит 400 йен."
"Стоимость проживания в гостинице на неделю составляет 20,000¥.","Стоимость проживания в гостинице на неделю составляет 20 000 йен."
"Стоимость поезда в другом направлении составляет 5,000¥.","Стоимость поезда в другом направлении составляет 5 000 йен."
"Я заплатил 1,200¥ за комплект постельного белья.","Я заплатил 1 200 йен за комплект постельного белья."
"Плата за пользование интернетом в отеле составляет 1,000¥ в день.","Плата за пользование интернетом в отеле составляет 1 000 йен в день."
"Зарплата сотрудника компании составляет 350,000¥ в месяц.","Зарплата сотрудника компании составляет 350 000 йен в месяц."
"Цена на проезд в аэропорт составила 2,500¥.","Цена на проезд в аэропорт составила 2 500 йен."
"Туристический пакет стоит 40,000¥.","Туристический пакет стоит 40 000 йен."
"Я заплатил 800¥ за вход в аквариум.","Я заплатил 800 йен за вход в аквариум."
"Цена на одежду в этом магазине варьируется от 1,000¥ до 5,000¥.","Цена на одежду в этом магазине варьируется от 1 000 до 5 000 йен."
"Стоимость горячего ужина составляет 2,500¥.","Стоимость горячего ужина составляет 2 500 йен."
"Продукты в супермаркете стоили около 3,500¥.","Продукты в супермаркете стоили около 3 500 йен."
"Цена на билеты на автобус в Йокогаме составляет 200¥.","Цена на билеты на автобус в Йокогаме составляет 200 йен."
"Стоимость обеденного набора в ресторане составила 1,000¥.","Стоимость обеденного набора в ресторане составила 1 000 йен."
"За визит в спа-салон я заплатил 5,000¥.","За визит в спа-салон я заплатил 5 000 йен."
"Моя поездка в Токио обошлась в 50,000¥.","Моя поездка в Токио обошлась в 50 000 йен."
"Я купил футболку за 1,500¥.","Я купил футболку за 1 500 йен."
"Стоимость номера в отеле составляет 7,000¥ в сутки.","Стоимость номера в отеле составляет 7 000 йен в сутки."
"Цена товара в магазине составила 3,500¥.","Цена товара в магазине составила 3 500 йен."
"Проезд на автобусе в Токио стоит 500¥.","Проезд на автобусе в Токио стоит 500 йен."
"Билеты на поезд на Хоккайдо стоят 8,000¥.","Билеты на поезд на Хоккайдо стоят 8 000 йен."
"Цена нового ноутбука составляет 50,000¥.","Цена нового ноутбука составляет 50 000 йен."
"Вы должны заплатить 500¥ за входной билет на выставку.","Вы должны заплатить 500 йен за входной билет на выставку."
"Стоимость поездки на такси составляет 1,000¥.","Стоимость поездки на такси составляет 1 000 йен."
"Он заплатил 10,000¥ за ремонт своего автомобиля.","Он заплатил 10 000 йен за ремонт своего автомобиля."
"Для того чтобы пройти обучение, нужно заплатить 25,000¥.","Для того чтобы пройти обучение, нужно заплатить 25 000 йен."
"Цена курса онлайн-обучения составляет 15,000¥.","Цена курса онлайн-обучения составляет 15 000 йен."
"У меня осталось 2,000¥ на покупку сувениров.","У меня осталось 2 000 йен на покупку сувениров."
"Продукты в этом магазине стоят от 300¥ до 1,000¥.","Продукты в этом магазине стоят от 300 до 1 000 йен."
"Я получил скидку 20%, и теперь цена товара составляет 4,000¥.","Я получил скидку 20%, и теперь цена товара составляет 4 000 йен."
"Он заработал 150,000¥ за месяц работы.","Он заработал 150 000 йен за месяц работы."
"Стоимость билета на самолет в Японию может варьироваться от 30,000¥ до 80,000¥.","Стоимость билета на самолет в Японию может варьироваться от 30 000 до 80 000 йен."
"Туристический автобус стоит 800¥ в сутки.","Туристический автобус стоит 800 йен в сутки."
"Для питания в ресторане нам нужно 3,000¥ на двоих.","Для питания в ресторане нам нужно 3 000 йен на двоих."
"Этот смартфон продается за 60,000¥.","Этот смартфон продается за 60 000 йен."
"Плата за проезд на метро составляет 500¥.","Плата за проезд на метро составляет 500 йен."
"Стоимость одного блюда в ресторане — 1,500¥.","Стоимость одного блюда в ресторане — 1 500 йен."
"Я купил билет в театр за 2,000¥.","Я купил билет в театр за 2 000 йен."
"Подарочная карта стоит 5,000¥.","Подарочная карта стоит 5 000 йен."
"Цена на такси из аэропорта до отеля составляет 2,500¥.","Цена на такси из аэропорта до отеля составляет 2 500 йен."
"Стоимость ремонта бытовой техники составляет 7,000¥.","Стоимость ремонта бытовой техники составляет 7 000 йен."
"Я потратил 1,000¥ на сувениры.","Я потратил 1 000 йен на сувениры."
"Моя зарплата в месяц составляет 200,000¥.","Моя зарплата в месяц составляет 200 000 йен."
"Цена на билет в зоопарк составляет 1,200¥.","Цена на билет в зоопарк составляет 1 200 йен."
"Для этого мероприятия вам нужно заплатить 5,000¥.","Для этого мероприятия вам нужно заплатить 5 000 йен."
"Проезд на автобусе стоит 300¥.","Проезд на автобусе стоит 300 йен."
"Стоимость проживания в гостинице составляет 8,000¥ за ночь.","Стоимость проживания в гостинице составляет 8 000 йен за ночь."
"Я заплатил 200¥ за покупку в интернет-магазине.","Я заплатил 200 йен за покупку в интернет-магазине."
"Стоимость такси до вокзала составляет 1,000¥.","Стоимость такси до вокзала составляет 1 000 йен."
"Плата за парковку в центре города 600¥ в час.","Плата за парковку в центре города 600 йен в час."
"Билеты на концерт стоят 3,500¥.","Билеты на концерт стоят 3 500 йен."
"Курс обмена валюты — 110¥ за доллар.","Курс обмена валюты — 110 йен за доллар."
"Цена на чашку кофе в этом кафе 500¥.","Цена на чашку кофе в этом кафе 500 йен."
"Покупка одежды обошлась мне в 7,500¥.","Покупка одежды обошлась мне в 7 500 йен."
"Я заплатил 2,500¥ за поездку на автобусе.","Я заплатил 2 500 йен за поездку на автобусе."
"Этот ноутбук стоит 45,000¥.","Этот ноутбук стоит 45 000 йен."
"Вход в музей стоит 1,000¥ для взрослых и 500¥ для детей.","Вход в музей стоит 1 000 йен для взрослых и 500 для детей."
"Стоимость обучения в языковой школе составляет 100,000¥.","Стоимость обучения в языковой школе составляет 100 000 йен."
"За билеты в кино я заплатил 1,800¥.","За билеты в кино я заплатил 1 800 йен."
"В магазине игрушек цены начинаются с 300¥.","В магазине игрушек цены начинаются с 300 йен."
"Мне нужно заплатить 4,000¥ за коммунальные услуги.","Мне нужно заплатить 4 000 йен за коммунальные услуги."
"Стоимость такси до аэропорта 3,000¥.","Стоимость такси до аэропорта 3 000 йен."
"Я потратил 600¥ на кофе и пирог.","Я потратил 600 йен на кофе и пирог."
"Мой телефон стоит 12,000¥.","Мой телефон стоит 12 000 йен."
"Обед в ресторане для двоих обошелся в 2,500¥.","Обед в ресторане для двоих обошелся в 2 500 йен."
"Билеты на поезд стоят 5,000¥.","Билеты на поезд стоят 5 000 йен."
"Мое хобби стоит 30,000¥ в год.","Мое хобби стоит 30 000 йен в год."
"Один билет в парк аттракционов стоит 4,000¥.","Один билет в парк аттракционов стоит 4 000 йен."
"Моя покупка в магазине составила 1,200¥.","Моя покупка в магазине составила 1 200 йен."
"Стоимость аренды машины составляет 8,000¥ в день.","Стоимость аренды машины составляет 8 000 йен в день."
"Зарплата учителя в Японии составляет 250,000¥ в месяц.","Зарплата учителя в Японии составляет 250 000 йен в месяц."
"Плата за пользование спортзалом составляет 3,000¥ в месяц.","Плата за пользование спортзалом составляет 3 000 йен в месяц."
"Я купил билет на поезд за 2,500¥.","Я купил билет на поезд за 2 500 йен."
"Билеты на экскурсии стоят 6,000¥.","Билеты на экскурсии стоят 6 000 йен."
"Цены на товары варьируются от 100¥ до 10,000¥.","Цены на товары варьируются от 100 до 10 000 йен."
"Я купил билет на автобус за 500¥.","Я купил билет на автобус за 500 йен."
"Каждый ужин в ресторане стоит около 2,000¥.","Каждый ужин в ресторане стоит около 2 000 йен."
"Платеж за телефонный счет составил 1,000¥.","Платеж за телефонный счет составил 1 000 йен."
"Стоимость аренды квартиры на месяц составляет 50,000¥.","Стоимость аренды квартиры на месяц составляет 50 000 йен."
"Парк аттракционов требует 5,500¥ за вход.","Парк аттракционов требует 5 500 йен за вход."
"Цена нового ноутбука составляет ¥50,000.","Цена нового ноутбука составляет 50 000 йен."
"Вы должны заплатить ¥500 за входной билет на выставку.","Вы должны заплатить 500 йен за входной билет на выставку."
"Стоимость поездки на такси составляет ¥1,000.","Стоимость поездки на такси составляет 1 000 йен."
"Он заплатил ¥10,000 за ремонт своего автомобиля.","Он заплатил 10 000 йен за ремонт своего автомобиля."
"Для того чтобы пройти обучение, нужно заплатить ¥25,000.","Для того чтобы пройти обучение, нужно заплатить 25 000 йен."
"Цена курса онлайн-обучения составляет ¥15,000.","Цена курса онлайн-обучения составляет 15 000 йен."
"У меня осталось ¥2,000 на покупку сувениров.","У меня осталось 2 000 йен на покупку сувениров."
"Продукты в этом магазине стоят от ¥300 до ¥1,000.","Продукты в этом магазине стоят от 300 до 1 000 йен."
"Я получил скидку 20%, и теперь цена товара составляет ¥4,000.","Я получил скидку 20%, и теперь цена товара составляет 4 000 йен."
"Он заработал ¥150,000 за месяц работы.","Он заработал 150 000 йен за месяц работы."
"Стоимость билета на самолет в Японию может варьироваться от ¥30,000 до ¥80,000.","Стоимость билета на самолет в Японию может варьироваться от 30 000 до 80 000 йен."
"Туристический автобус стоит ¥800 в сутки.","Туристический автобус стоит 800 йен в сутки."
"Для питания в ресторане нам нужно ¥3,000 на двоих.","Для питания в ресторане нам нужно 3 000 йен на двоих."
"Этот смартфон продается за ¥60,000.","Этот смартфон продается за 60 000 йен."
"Плата за проезд на метро составляет ¥500.","Плата за проезд на метро составляет 500 йен."
"Стоимость одного блюда в ресторане — ¥1,500.","Стоимость одного блюда в ресторане — 1 500 йен."
"Я купил билет в театр за ¥2,000.","Я купил билет в театр за 2 000 йен."
"Подарочная карта стоит ¥5,000.","Подарочная карта стоит 5 000 йен."
"Цена на такси из аэропорта до отеля составляет ¥2,500.","Цена на такси из аэропорта до отеля составляет 2 500 йен."
"Стоимость ремонта бытовой техники составляет ¥7,000.","Стоимость ремонта бытовой техники составляет 7 000 йен."
"Я потратил ¥1,000 на сувениры.","Я потратил 1 000 йен на сувениры."
"Моя зарплата в месяц составляет ¥200,000.","Моя зарплата в месяц составляет 200 000 йен."
"Цена на билет в зоопарк составляет ¥1,200.","Цена на билет в зоопарк составляет 1 200 йен."
"Для этого мероприятия вам нужно заплатить ¥5,000.","Для этого мероприятия вам нужно заплатить 5 000 йен."
"Проезд на автобусе стоит ¥300.","Проезд на автобусе стоит 300 йен."
"Стоимость проживания в гостинице составляет ¥8,000 за ночь.","Стоимость проживания в гостинице составляет 8 000 йен за ночь."
"Я заплатил ¥200 за покупку в интернет-магазине.","Я заплатил 200 йен за покупку в интернет-магазине."
"Стоимость такси до вокзала составляет ¥1,000.","Стоимость такси до вокзала составляет 1 000 йен."
"Плата за парковку в центре города ¥600 в час.","Плата за парковку в центре города 600 йен в час."
"Билеты на концерт стоят ¥3,500.","Билеты на концерт стоят 3 500 йен."
"Курс обмена валюты — ¥110 за доллар.","Курс обмена валюты — 110 йен за доллар."
"Цена на чашку кофе в этом кафе ¥500.","Цена на чашку кофе в этом кафе 500 йен."
"Покупка одежды обошлась мне в ¥7,500.","Покупка одежды обошлась мне в 7 500 йен."
"Я заплатил ¥2,500 за поездку на автобусе.","Я заплатил 2 500 йен за поездку на автобусе."
"Этот ноутбук стоит ¥45,000.","Этот ноутбук стоит 45 000 йен."
"Вход в музей стоит ¥1,000 для взрослых и ¥500 для детей.","Вход в музей стоит 1 000 йен для взрослых и 500 для детей."
"Стоимость обучения в языковой школе составляет ¥100,000.","Стоимость обучения в языковой школе составляет 100 000 йен."
"За билеты в кино я заплатил ¥1,800.","За билеты в кино я заплатил 1 800 йен."
"В магазине игрушек цены начинаются с ¥300.","В магазине игрушек цены начинаются с 300 йен."
"Мне нужно заплатить ¥4,000 за коммунальные услуги.","Мне нужно заплатить 4 000 йен за коммунальные услуги."
"Стоимость такси до аэропорта ¥3,000.","Стоимость такси до аэропорта 3 000 йен."
"Я потратил ¥600 на кофе и пирог.","Я потратил 600 йен на кофе и пирог."
"Мой телефон стоит ¥12,000.","Мой телефон стоит 12 000 йен."
"Обед в ресторане для двоих обошелся в ¥2,500.","Обед в ресторане для двоих обошелся в 2 500 йен."
"Билеты на поезд стоят ¥5,000.","Билеты на поезд стоят 5 000 йен."
"Мое хобби стоит ¥30,000 в год.","Мое хобби стоит 30 000 йен в год."
"Один билет в парк аттракционов стоит ¥4,000.","Один билет в парк аттракционов стоит 4 000 йен."
"Моя покупка в магазине составила ¥1,200.","Моя покупка в магазине составила 1 200 йен."
"Стоимость аренды машины составляет ¥8,000 в день.","Стоимость аренды машины составляет 8 000 йен в день."
