"question","answer","measure"
"Вывод Н о т., что Земля представляет собой сплюснутый сфероид, впосл. был подтверждён геодезическими измерениями Мопертюи, ла Кондамина и других, убедивших большинство европейских учёных в превосходстве ньютоновской механики над более ранними системами.","Вывод Ньютона о том, что Земля представляет собой сплюснутый сфероид, впоследствии был подтверждён геодезическими измерениями Мопертюи, ла Кондамина и других, убедивших большинство европейских учёных в превосходстве ньютоновской механики над более ранними системами.","measure"
"Н построил первый практический телескоп-рефлектор и разработал теорию цвета, основанную на наблюдении, что призма разделяет белый свет на цвета видимого спектра, тем самым заложив основы современной физической оптики.","Ньютон построил первый практический телескоп-рефлектор и разработал теорию цвета, основанную на наблюдении, что призма разделяет белый свет на цвета видимого спектра, тем самым заложив основы современной физической оптики.","measure"
"Последние три десятилетия своей жизни в Лондоне, служа смотрителем (1696—1699) и затем управляющим (1699—1727) Королевского монетного двора, Н существенно улучшил монетную систему Англии.","Последние три десятилетия своей жизни в Лондоне, служа смотрителем (1696—1699) и затем управляющим (1699—1727) Королевского монетного двора, Ньютон существенно улучшил монетную систему Англии.","measure"
"Отец Н, мелкий, но преуспевающий фермер Исаак Н (1606—1642), не дожил до рождения сына.","Отец Ньютона, мелкий, но преуспевающий фермер Исаак Ньютон (1606—1642), не дожил до рождения сына.","measure"
"Факт рождения под Рождество Н считал особым знаком судьбы.","Факт рождения под Рождество Ньютон считал особым знаком судьбы.","measure"
"Отец Н оставил в наследство крупную по тем временам сумму в 500 фунтов стерлингов и неск. сот акров плодородной земли, занятой полями и лесами.","Отец Ньютона оставил в наследство крупную по тем временам сумму в 500 фунтов стерлингов и несколько сот акров плодородной земли, занятой полями и лесами.","measure"
"С этим учебным заведением связаны более 30 лет жизни Н.","С этим учебным заведением связаны более 30 лет жизни Ньютона.","measure"
"Однако в сохранившихся тетрадях Н уже упоминаются Галилей, Коперник, картезианство, Кеплер и атомистическая теория Гассенди.","Однако в сохранившихся тетрадях Ньютона уже упоминаются Галилей, Коперник, картезианство, Кеплер и атомистическая теория Гассенди.","measure"
"Согласно воспоминаниям соседа по комнате, Н беззаветно предавался учению, забывая про еду и сон; вероятно, несмотря на все трудности, это был именно тот образ жизни, которого он сам желал.","Согласно воспоминаниям соседа по комнате, Ньютон беззаветно предавался учению, забывая про еду и сон; вероятно, несмотря на все трудности, это был именно тот образ жизни, которого он сам желал.","measure"
"1664 г в жизни Н был богат и другими событиями.","1664 год в жизни Ньютона был богат и другими событиями.","measure"
"Н пережил творч. подъём, начал самостоятельную научную деятельность и составил масштабный список (из 45 пунктов) нерешённых проблем в природе и человеческой жизни (Вопросник, лат. Questiones quaedam philosophicae).","Ньютон пережил творческий подъём, начал самостоятельную научную деятельность и составил масштабный список (из 45 пунктов) нерешённых проблем в природе и человеческой жизни (Вопросник, лат. Questiones quaedam philosophicae).","measure"
"Научной опорой и вдохновителями творчества Н в наибольшей степени были физики: Галилей, Декарт и Кеплер.","Научной опорой и вдохновителями творчества Ньютона в наибольшей степени были физики: Галилей, Декарт и Кеплер.","measure"
"Н завершил их труды, объединив в универсальную систему мира.","Ньютон завершил их труды, объединив в универсальную систему мира.","measure"
"Но существенную ч. своих научных открытий Н сделал в уединении «чумных лет».","Но существенную часть своих научных открытий Ньютон сделал в уединении «чумных лет».","measure"
"Из сохранившихся заметок видно, что 23-летний Н уже свободно владел базовыми методами дифференциального и интегрального исчислений, вкл. разложение функций в ряды и то, что впосл. было названо формулой Н — Лейбница.","Из сохранившихся заметок видно, что 23-летний Ньютон уже свободно владел базовыми методами дифференциального и интегрального исчислений, включая разложение функций в ряды и то, что впоследствии было названо формулой Ньютона — Лейбница.","measure"
"Позже Н вспоминал об этих гг:","Позже Ньютон вспоминал об этих годах:","measure"
"Позднее, в 1686 г, Н писал Галлею:","Позднее, в 1686 году, Ньютон писал Галлею:","measure"
"Неточность, упомянутая Н, была вызвана тем, что размеры Земли и величину ускорения свободного падения Н взял из «Механики» Галилея, где они приводились со значительной погрешностью.","Неточность, упомянутая Ньютоном, была вызвана тем, что размеры Земли и величину ускорения свободного падения Ньютон взял из «Механики» Галилея, где они приводились со значительной погрешностью.","measure"
"Позднее Н получил более точные данные Пикара и окончательно убедился в истинности своей теории.","Позднее Ньютон получил более точные данные Пикара и окончательно убедился в истинности своей теории.","measure"
"Впервые «яблоко Н» мельком упомянул биограф Н Уильям Стьюкли (кн. «Воспоминания о жизни Н», 1752 г):","Впервые «яблоко Ньютона» мельком упомянул биограф Ньютона Уильям Стьюкли (книга «Воспоминания о жизни Ньютона», 1752 год):","measure"
"Он [Н] сказал мне, что мысль о гравитации пришла ему в голову, когда он точно так же сидел под деревом.","Он [Ньютон] сказал мне, что мысль о гравитации пришла ему в голову, когда он точно так же сидел под деревом.","measure"
"Окончательную формулировку закона тяготения, вошедшую в учебники, Н выписал позднее, после того, как ему стали ясны законы механики.","Окончательную формулировку закона тяготения, вошедшую в учебники, Ньютон выписал позднее, после того, как ему стали ясны законы механики.","measure"
"Н не гнался за славой.","Ньютон не гнался за славой.","measure"
"Наконец, в начале 1667 года эпидемия утихла, и в апреле Н возвратился в Кембридж.","Наконец, в начале 1667 года эпидемия утихла, и в апреле Ньютон возвратился в Кембридж.","measure"
"Впрочем, ни тогда, ни позже Н не прославился как преподаватель, его лекции посещались плохо.","Впрочем, ни тогда, ни позже Ньютон не прославился как преподаватель, его лекции посещались плохо.","measure"
"Упрочив своё положение, Н совершил путешествие в Лондон, где незадолго до того, в 1660 г, было создано Лондонское королевское об-во — авторитетная орг-ция видных научных деятелей, одна из первых Академий наук.","Упрочив своё положение, Ньютон совершил путешествие в Лондон, где незадолго до того, в 1660 году, было создано Лондонское королевское общество — авторитетная организация видных научных деятелей, одна из первых Академий наук.","measure"
"Н просил Барроу не раскрывать имя автора работы (но тот всё же проговорился).","Ньютон просил Барроу не раскрывать имя автора работы (но тот всё же проговорился).","measure"
"29 октября 1669 года 26-летний Н был избран его преемником на должности «лукасовского профессора» математики и оптики Тринити-колледжа.","29 октября 1669 года 26-летний Ньютон был избран его преемником на должности «лукасовского профессора» математики и оптики Тринити-колледжа.","measure"
"На этой должности Н получил оклад 100 фунтов в г, не считая других бонусов и стипендий от Тринити.","На этой должности Ньютон получил оклад 100 фунтов в год, не считая других бонусов и стипендий от Тринити.","measure"
"Новый пост также давал Н больше времени на собственные исследования.","Новый пост также давал Ньютону больше времени на собственные исследования.","measure"
"Барроу оставил Н обширную алхимическую лабораторию; в этот период Н всерьёз увлёкся алхимией, провёл массу химических опытов.","Барроу оставил Ньютону обширную алхимическую лабораторию; в этот период Ньютон всерьёз увлёкся алхимией, провёл массу химических опытов.","measure"
"Одновременно Н продолжил эксперименты по оптике и теории цвета.","Одновременно Ньютон продолжил эксперименты по оптике и теории цвета.","measure"
"Н исследовал сферическую и хроматическую аберрации.","Ньютон исследовал сферическую и хроматическую аберрации.","measure"
"Слухи о новом инструменте быстро дошли до Лондона, и Н пригласили показать своё изобретение научной общественности.","Слухи о новом инструменте быстро дошли до Лондона, и Ньютона пригласили показать своё изобретение научной общественности.","measure"
"Н стал знаменит и в январе 1672 года был избран членом Королевского общества.","Ньютон стал знаменит и в январе 1672 года был избран членом Королевского общества.","measure"
"Однако вскоре начались утомительные конфликты, которых Н очень не любил.","Однако вскоре начались утомительные конфликты, которых Ньютон очень не любил.","measure"
"Гук, к-рый ранее опубликовал собственную теорию, заявил, что результаты Н его не убедили; его поддержал Гюйгенс на т. основании, что теория Н «противоречит общепринятым воззрениям».","Гук, который ранее опубликовал собственную теорию, заявил, что результаты Ньютона его не убедили; его поддержал Гюйгенс на том основании, что теория Ньютона «противоречит общепринятым воззрениям».","measure"
"Лавина некомпетентных нападок вызвала у Н раздражение и депрессию.","Лавина некомпетентных нападок вызвала у Ньютона раздражение и депрессию.","measure"
"Первое: королевским указом в Тринити вернулся старый друг и покровитель Н, Исаак Барроу, теперь в качестве руководителя («мастера») колледжа.","Первое: королевским указом в Тринити вернулся старый друг и покровитель Ньютона, Исаак Барроу, теперь в качестве руководителя («мастера») колледжа.","measure"
"Второе: математическими открытиями Н заинтересовался Лейбниц, изв. на тот момент как философ и изобретатель.","Второе: математическими открытиями Ньютона заинтересовался Лейбниц, известный на тот момент как философ и изобретатель.","measure"
"Получив труд Н 1669 года по бесконечным рядам и глубоко его изучив, он далее самостоятельно начал развивать свою версию анализа.","Получив труд Ньютона 1669 года по бесконечным рядам и глубоко его изучив, он далее самостоятельно начал развивать свою версию анализа.","measure"
"секр. Королевского общества Генри Ольденбург настойчиво просил Н во славу Англии опубликовать свои математические открытия по анализу, но Н ответил, что уже пять лет как занимается др. темой и не хочет отвлекаться.","Секретарь Королевского общества Генри Ольденбург настойчиво просил Ньютона во славу Англии опубликовать свои математические открытия по анализу, но Ньютон ответил, что уже пять лет как занимается другой темой и не хочет отвлекаться.","measure"
"На очередное письмо Лейбница Н не ответил.","На очередное письмо Лейбница Ньютон не ответил.","measure"
"кон. 1670-х годов был печален для Н.","Конец 1670-х годов был печален для Ньютона.","measure"
"Зимой этого же года в доме Н возник сильный пожар, и ч. рукописного архива Н сгорела.","Зимой этого же года в доме Ньютона возник сильный пожар, и часть рукописного архива Ньютона сгорела.","measure"
"Мать и Барроу были в числе немногих людей, скрашивавших одиночество Н.","Мать и Барроу были в числе немногих людей, скрашивавших одиночество Ньютона.","measure"
"Эдмонд Галлей пытался уговорить Н опубликовать его «общую теорию движения», о которой уже давно ходили слухи в учёном сообществе.","Эдмонд Галлей пытался уговорить Ньютона опубликовать его «общую теорию движения», о которой уже давно ходили слухи в учёном сообществе.","measure"
"Н, не желая втягиваться в новые науч. споры и пререкания, отказался.","Ньютон, не желая втягиваться в новые научные споры и пререкания, отказался.","measure"
"Н сообщил, что у него уже есть такое доказательство, и в ноябре прислал Галлею готовую рукопись.","Ньютон сообщил, что у него уже есть такое доказательство, и в ноябре прислал Галлею готовую рукопись.","measure"
"Тот сразу оценил значение результата и метода, немедленно снова навестил Н и на этот раз сумел уговорить его опубликовать свои открытия.","Тот сразу оценил значение результата и метода, немедленно снова навестил Ньютона и на этот раз сумел уговорить его опубликовать свои открытия.","measure"
"Господин Галлей… недавно видел в Кембридже м-ра Н, и тот показал ему интересный трактат «De motu» [О движении].","Господин Галлей… недавно видел в Кембридже м-ра Ньютона, и тот показал ему интересный трактат «De motu» [О движении].","measure"
"Согласно желанию г-на Галлея, Н обещал послать упомянутый трактат в об-во.","Согласно желанию г-на Галлея, Ньютон обещал послать упомянутый трактат в Общество.","measure"
"Как по физическому, так и по математическому уровню труд Н качественно превосходит работы всех его предшественников.","Как по физическому, так и по математическому уровню труд Ньютона качественно превосходит работы всех его предшественников.","measure"
"Н, напр., не провозглашает, что в природе действует закон тяготения, он строго доказывает этот факт, исходя из наблюдаемой картины движения планет и их спутников.","Ньютон, например, не провозглашает, что в природе действует закон тяготения, он строго доказывает этот факт, исходя из наблюдаемой картины движения планет и их спутников.","measure"
"Метод Н — создание модели явления, «не измышляя гипотез», а потом уже, если данных достаточно, поиск его причин.","Метод Ньютона — создание модели явления, «не измышляя гипотез», а потом уже, если данных достаточно, поиск его причин.","measure"
"Истинность гелиоцентрической системы Коперника Н прямо не обсуждает, но подразумевает; он даже оценивает отклонение Солнца от центра масс Солнечной системы.","Истинность гелиоцентрической системы Коперника Ньютон прямо не обсуждает, но подразумевает; он даже оценивает отклонение Солнца от центра масс Солнечной системы.","measure"
"Другими словами, Солнце в системе Н, в отличие от кеплеровской, не покоится, а подчиняется общим законам движения.","Другими словами, Солнце в системе Ньютона, в отличие от кеплеровской, не покоится, а подчиняется общим законам движения.","measure"
"Слабым местом теории тяготения Н, по мнению многих учёных того времени, было отсутствие объяснения природы этой силы.","Слабым местом теории тяготения Ньютона, по мнению многих учёных того времени, было отсутствие объяснения природы этой силы.","measure"
"Н изложил только математический аппарат, оставив открытыми вопр. о причине тяготения и его материальном носителе.","Ньютон изложил только математический аппарат, оставив открытыми вопросы о причине тяготения и его материальном носителе.","measure"
"кн. Н была первой работой по новой физике и одновременно одним из последних серьёзных трудов, использующих старые методы математического исследования.","Книга Ньютона была первой работой по новой физике и одновременно одним из последних серьёзных трудов, использующих старые методы математического исследования.","measure"
"Все последователи Н уже использовали созданные им мощные методы математического анализа.","Все последователи Ньютона уже использовали созданные им мощные методы математического анализа.","measure"
"Крупнейшими непосредственными продолжателями дела Н стали Д’Аламбер, Эйлер, Лаплас, Клеро и Лагранж.","Крупнейшими непосредственными продолжателями дела Ньютона стали Д’Аламбер, Эйлер, Лаплас, Клеро и Лагранж.","measure"
"Н выступил против всякого компромисса, ущемляющего университетскую автономию, и убедил делегацию занять принципиальную позицию.","Ньютон выступил против всякого компромисса, ущемляющего университетскую автономию, и убедил делегацию занять принципиальную позицию.","measure"
"ок. 1691 года Н серьёзно заболел (скорее всего, отравился в ходе химических опытов, хотя имеются и др. версии — переутомление, потрясение после пожара, повлёкшего потерю важных результатов, и возрастные недуги).","Около 1691 года Ньютон серьёзно заболел (скорее всего, отравился в ходе химических опытов, хотя имеются и другие версии — переутомление, потрясение после пожара, повлёкшего потерю важных результатов, и возрастные недуги).","measure"
"Только в конце 1693 года здоровье Н полностью восстановилось.","Только в конце 1693 года здоровье Ньютона полностью восстановилось.","measure"
"Вероятно, Н произвёл на Монтегю сильнейшее впечатление, потому что в 1696 г, став лордом Галифаксом, президентом Королевского общества и канцлером Казначейства (то есть министром финансов Англии), Монтегю предложил королю назначить Н хранителем Монетного двора.","Вероятно, Ньютон произвёл на Монтегю сильнейшее впечатление, потому что в 1696 году, став лордом Галифаксом, президентом Королевского общества и канцлером Казначейства (то есть министром финансов Англии), Монтегю предложил королю назначить Ньютона хранителем Монетного двора.","measure"
"Для начала Н досконально изучил технологию монетного производства, привёл в порядок документооборот, переделал учёт за последние 30 лет.","Для начала Ньютон досконально изучил технологию монетного производства, привёл в порядок документооборот, переделал учёт за последние 30 лет.","measure"
"Для этого требовался грамотный администратор, и именно таким человеком стал Н, занявший в марте 1696 года должность хранителя Монетного двора.","Для этого требовался грамотный администратор, и именно таким человеком стал Ньютон, занявший в марте 1696 года должность хранителя Монетного двора.","measure"
"Благодаря энергичным действиям Н в течение 1696 года в городах Англии была создана сеть филиалов Монетного двора, в частности, в Честере, где директором филиала Н поставил своего друга Галлея, что позволило увеличить вып. серебряной монеты в 8 раз.","Благодаря энергичным действиям Ньютона в течение 1696 года в городах Англии была создана сеть филиалов Монетного двора, в частности, в Честере, где директором филиала Ньютон поставил своего друга Галлея, что позволило увеличить выпуск серебряной монеты в 8 раз.","measure"
"С первых же дней на Н посыпались жалобы и доносы, постоянно появлялись комиссии по проверке.","С первых же дней на Ньютона посыпались жалобы и доносы, постоянно появлялись комиссии по проверке.","measure"
"Монтегю в своих мемуарах высоко оценил незаурядные способности администратора, проявленные Н и обеспечившие успех реформы.","Монтегю в своих мемуарах высоко оценил незаурядные способности администратора, проявленные Ньютоном и обеспечившие успех реформы.","measure"
"Всё это время Н ещё числился членом и профессором Тринити-колледжа, но в декабре 1701 года он официально ушёл в отставку со всех своих постов в Кембридже.","Всё это время Ньютон ещё числился членом и профессором Тринити-колледжа, но в декабре 1701 года он официально ушёл в отставку со всех своих постов в Кембридже.","measure"
"об-во обзавелось платными секретарями и собственной резиденцией (на Флит-стрит), расходы на переезд Н оплатил из своего кармана.","Общество обзавелось платными секретарями и собственной резиденцией (на Флит-стрит), расходы на переезд Ньютон оплатил из своего кармана.","measure"
"Фактически это посл. труд Н по естественным наукам, хотя он прожил ещё более 20 лет.","Фактически это последний труд Ньютона по естественным наукам, хотя он прожил ещё более 20 лет.","measure"
"Каталог оставленной им библиотеки содержал книги в основном по истории и теологии, и именно этим занятиям Н посвятил остаток жизни.","Каталог оставленной им библиотеки содержал книги в основном по истории и теологии, и именно этим занятиям Ньютон посвятил остаток жизни.","measure"
"Н оставался управителем Монетного двора, поскольку этот пост, в отличие от должности смотрителя, не требовал от него особой активности.","Ньютон оставался управителем Монетного двора, поскольку этот пост, в отличие от должности смотрителя, не требовал от него особой активности.","measure"
"Н так никогда и не совершил путешествия за пределы Англии.","Ньютон так никогда и не совершил путешествия за пределы Англии.","measure"
"Отныне он сэр Исаак Н.","Отныне он сэр Исаак Ньютон.","measure"
"Н обзавёлся собственным гербом и не очень достоверной родословной.","Ньютон обзавёлся собственным гербом и не очень достоверной родословной.","measure"
"Эта распря двух гениев дорого обошлась науке — англ математическая школа вскоре снизила активность на целый в., а европ. — проигнорировала мн. выдающиеся идеи Н, переоткрыв их много позднее.","Эта распря двух гениев дорого обошлась науке — английская математическая школа вскоре снизила активность на целый век, а европейская — проигнорировала многие выдающиеся идеи Ньютона, переоткрыв их много позднее.","measure"
"Первое изд. «Начал» Н давно было раскуплено.","Первое издание «Начал» Ньютона давно было раскуплено.","measure"
"Многолетний труд Н по подготовке 2-го издания, уточнённого и дополненного, увенчался успехом в 1710 г, когда вышел первый т. нового издания (посл., третий — в 1713 г).","Многолетний труд Ньютона по подготовке 2-го издания, уточнённого и дополненного, увенчался успехом в 1710 году, когда вышел первый том нового издания (последний, третий — в 1713 году).","measure"
"Незадолго до смерти Н стал одной из жертв финансовой аферы крупной торговой «Компании Южных морей», пользовавшейся поддержкой правительства.","Незадолго до смерти Ньютон стал одной из жертв финансовой аферы крупной торговой «Компании Южных морей», пользовавшейся поддержкой правительства.","measure"
"Племянница Кэтрин вспоминала в своих записках, что Н потерял более 20 000 фунтов, после чего заявил, что может рассчитать движение небесных тел, но не степень безумия толпы.","Племянница Кэтрин вспоминала в своих записках, что Ньютон потерял более 20 000 фунтов, после чего заявил, что может рассчитать движение небесных тел, но не степень безумия толпы.","measure"
"После банкротства компании Н предложил Королевскому обществу компенсировать потери из своего кармана, но его предложение было отклонено.","После банкротства компании Ньютон предложил Королевскому обществу компенсировать потери из своего кармана, но его предложение было отклонено.","measure"
"Последние гг. жизни Н посвятил написанию «Хронологии древних царств», которой занимался ок. 40 лет, а также подготовкой третьего издания «Начал», к-рый вышло в 1726 г.","Последние годы жизни Ньютон посвятил написанию «Хронологии древних царств», которой занимался около 40 лет, а также подготовкой третьего издания «Начал», которое вышло в 1726 году.","measure"
"Фернандо Саватер, по письмам Вольтера, так описывает похороны Н:","Фернандо Саватер, по письмам Вольтера, так описывает похороны Ньютона:","measure"
"Сначала тело было выставлено на всеобщее обозрение в пышном катафалке, по бокам которого горели огромные светильники, затем было перенесено в Вестминстерское аббатство, где Н был похоронен среди королей и выдающихся государственных деятелей.","Сначала тело было выставлено на всеобщее обозрение в пышном катафалке, по бокам которого горели огромные светильники, затем было перенесено в Вестминстерское аббатство, где Ньютон был похоронен среди королей и выдающихся государственных деятелей.","measure"
"Составить психологический портрет Н трудно, так как даже симпатизирующие ему люди нередко приписывают Н различные качества.","Составить психологический портрет Ньютона трудно, так как даже симпатизирующие ему люди нередко приписывают Ньютону различные качества.","measure"
"Приходится учитывать и культ Н в Англии, заставлявший авторов воспоминаний наделять великого учёного всеми мыслимыми добродетелями, игнорируя реальные противоречия в его натуре.","Приходится учитывать и культ Ньютона в Англии, заставлявший авторов воспоминаний наделять великого учёного всеми мыслимыми добродетелями, игнорируя реальные противоречия в его натуре.","measure"
"Со всем сказанным Н сумел соединить житейскую практичность и здравомыслие, ярко проявившиеся в его успешном управлении Монетным двором и Королевским обществом.","Со всем сказанным Ньютон сумел соединить житейскую практичность и здравомыслие, ярко проявившиеся в его успешном управлении Монетным двором и Королевским обществом.","measure"
"Воспитанный в пуританских традициях, Н установил для себя ряд жёстких принципов и самоограничений.","Воспитанный в пуританских традициях, Ньютон установил для себя ряд жёстких принципов и самоограничений.","measure"
"Ольденбург тут же известил Н об этих обвинениях, и тот расценил их как инсинуации.","Ольденбург тут же известил Ньютона об этих обвинениях, и тот расценил их как инсинуации.","measure"
"Однако доказать это математически он не смог и послал в 1679 г Н письмо, где предложил сотр-во по решению этой задачи.","Однако доказать это математически он не смог и послал в 1679 году Ньютону письмо, где предложил сотрудничество по решению этой задачи.","measure"
"впосл. переписка между Гуком и Н прервалась.","Впоследствии переписка между Гуком и Ньютоном прервалась.","measure"
"Современные авторы отдают должное и Н, и Гуку.","Современные авторы отдают должное и Ньютону, и Гуку.","measure"
"Не исключено, что именно письмо Гука непосредственно подтолкнуло Н завершить решение этой задачи.","Не исключено, что именно письмо Гука непосредственно подтолкнуло Ньютона завершить решение этой задачи.","measure"
"Если связать в одно все предположения и мысли Гука о движении планет и тяготении, высказанные им в течение почти 20 лет, то мы встретим почти все главные выводы «Начал» Н, только высказанные в неуверенной и мало доказательной форме.","Если связать в одно все предположения и мысли Гука о движении планет и тяготении, высказанные им в течение почти 20 лет, то мы встретим почти все главные выводы «Начал» Ньютона, только высказанные в неуверенной и мало доказательной форме.","measure"
